T 21F 21.1F 21.2F 21.3F 21.4F 21.5F 21.6F 21.7F 21.8F 21.9F 22F 22.1F 22.2F 22.3F 22.4F 22.5F 22.6F 22.7F 22.8F 22.9F 
1.45091 0.751007 0.704273 0.65328 0.598711 0.545824 0.491743 0.433651 0.371902 0.30692 0.239199 0.169666 0.0989793 0.0266291 0.0483558 0.120394 0.190493 0.259798 0.326769 0.390849 0.451562 
1.47592 0.752263 0.70555 0.654553 0.599955 0.547025 0.49288 0.434698 0.372834 0.307712 0.239831 0.170123 0.099249 0.026702 0.0484881 0.120721 0.191004 0.260481 0.327606 0.391817 0.452638 
1.50094 0.75352 0.706828 0.655827 0.601201 0.548228 0.49402 0.435748 0.373769 0.308508 0.240467 0.170582 0.0995197 0.0267752 0.0486209 0.121049 0.191516 0.261166 0.328445 0.392789 0.453718 
1.52595 0.754778 0.708107 0.657104 0.60245 0.549434 0.495164 0.436802 0.374707 0.309306 0.241104 0.171042 0.0997914 0.0268487 0.0487542 0.121379 0.192031 0.261854 0.329288 0.393764 0.454801 
1.55097 0.756037 0.709388 0.658383 0.603701 0.550643 0.49631 0.437859 0.375648 0.310107 0.241744 0.171504 0.100064 0.0269225 0.0488881 0.12171 0.192547 0.262544 0.330133 0.394742 0.455887 
1.57598 0.757296 0.710671 0.659663 0.604955 0.551855 0.49746 0.438919 0.376592 0.310911 0.242386 0.171968 0.100338 0.0269966 0.0490225 0.122042 0.193065 0.263237 0.330981 0.395724 0.456976 
1.601 0.758556 0.711954 0.660946 0.606211 0.55307 0.498612 0.439982 0.377539 0.311718 0.243031 0.172434 0.100613 0.027071 0.0491575 0.122376 0.193586 0.263932 0.331832 0.396708 0.458069 
1.62602 0.759817 0.71324 0.662231 0.60747 0.554288 0.499768 0.441048 0.378489 0.312528 0.243678 0.172902 0.100889 0.0271457 0.049293 0.12271 0.194108 0.26463 0.332687 0.397696 0.459165 
1.65103 0.761079 0.714526 0.663518 0.608731 0.555509 0.500927 0.442118 0.379443 0.31334 0.244327 0.173371 0.101166 0.0272207 0.049429 0.123047 0.194632 0.26533 0.333544 0.398687 0.460264 
1.67605 0.762341 0.715814 0.664806 0.609995 0.556732 0.502089 0.443191 0.3804 0.314156 0.244979 0.173842 0.101445 0.027296 0.0495655 0.123384 0.195159 0.266033 0.334404 0.399681 0.461366 
1.70106 0.763603 0.717103 0.666097 0.611261 0.557958 0.503255 0.444267 0.381359 0.314974 0.245634 0.174315 0.101724 0.0273715 0.0497026 0.123723 0.195687 0.266739 0.335267 0.400678 0.462472 
1.72608 0.764867 0.718393 0.667389 0.61253 0.559188 0.504423 0.445346 0.382322 0.315795 0.24629 0.17479 0.102004 0.0274474 0.0498403 0.124063 0.196217 0.267447 0.336133 0.401679 0.46358 
1.75109 0.76613 0.719685 0.668683 0.613801 0.56042 0.505594 0.446429 0.383288 0.316619 0.246949 0.175267 0.102286 0.0275236 0.0499784 0.124404 0.19675 0.268157 0.337002 0.402682 0.464692 
1.77611 0.767394 0.720978 0.66998 0.615074 0.561654 0.506769 0.447515 0.384258 0.317445 0.247611 0.175745 0.102568 0.0276 0.0501171 0.124747 0.197284 0.26887 0.337874 0.403689 0.465807 
1.80113 0.768659 0.722272 0.671277 0.61635 0.562892 0.507946 0.448604 0.38523 0.318275 0.248275 0.176225 0.102852 0.0276768 0.0502564 0.125091 0.19782 0.269586 0.338749 0.404699 0.466926 
1.82614 0.769924 0.723567 0.672577 0.617628 0.564132 0.509127 0.449696 0.386205 0.319107 0.248941 0.176707 0.103137 0.0277539 0.0503962 0.125436 0.198358 0.270304 0.339626 0.405712 0.468047 
1.85116 0.771189 0.724863 0.673879 0.618908 0.565375 0.510311 0.450791 0.387184 0.319943 0.249609 0.177191 0.103423 0.0278312 0.0505365 0.125783 0.198899 0.271025 0.340507 0.406728 0.469172 
1.87617 0.772454 0.72616 0.675182 0.620191 0.566621 0.511498 0.451889 0.388165 0.320781 0.250281 0.177676 0.10371 0.0279089 0.0506774 0.12613 0.199441 0.271749 0.341391 0.407748 0.470299 
1.90119 0.77372 0.727458 0.676487 0.621476 0.56787 0.512687 0.452991 0.38915 0.321622 0.250954 0.178164 0.103998 0.0279869 0.0508189 0.12648 0.199985 0.272475 0.342278 0.40877 0.47143 
1.9262 0.774986 0.728757 0.677793 0.622763 0.569121 0.51388 0.454096 0.390138 0.322466 0.25163 0.178653 0.104287 0.0280652 0.0509608 0.12683 0.200532 0.273203 0.343167 0.409796 0.472564 
1.95122 0.776253 0.730057 0.679101 0.624052 0.570375 0.515076 0.455204 0.391129 0.323313 0.252308 0.179144 0.104577 0.0281437 0.0511034 0.127182 0.20108 0.273934 0.34406 0.410825 0.473702 
1.97624 0.777519 0.731358 0.680411 0.625344 0.571632 0.516275 0.456315 0.392123 0.324162 0.252989 0.179637 0.104869 0.0282226 0.0512464 0.127536 0.20163 0.274668 0.344956 0.411857 0.474842 
2.00125 0.778786 0.73266 0.681722 0.626638 0.572891 0.517477 0.457429 0.393121 0.325015 0.253673 0.180132 0.105161 0.0283018 0.0513901 0.12789 0.202183 0.275404 0.345854 0.412892 0.475985 
2.02627 0.780052 0.733963 0.683035 0.627934 0.574153 0.518682 0.458547 0.394121 0.32587 0.254358 0.180629 0.105455 0.0283813 0.0515343 0.128246 0.202737 0.276143 0.346756 0.413931 0.477132 
