T 18F 19F 20F 21F 23F 24F 25F 26F 27F 18000F 19000F 20000F 21000F 23000F 24000F 25000F 26000F 27000F 
1.97624 0.00535419 0.00803737 0.012537 0.0193201 0.0261382 0.0212906 0.0163031 0.012804 0.0105575 0.00574392 0.0084716 0.0130182 0.0198506 0.0267745 0.0219834 0.0170549 0.0136171 0.0114344 
2.00125 0.00534569 0.00803002 0.012539 0.0193516 0.026198 0.0213079 0.0162954 0.0127871 0.0105381 0.00573726 0.00846631 0.0130224 0.0198845 0.0268373 0.022004 0.0170508 0.0136041 0.0114191 
2.02627 0.00533718 0.00802264 0.0125408 0.019383 0.026258 0.0213251 0.0162876 0.0127703 0.0105187 0.00573061 0.008461 0.0130266 0.0199185 0.0269004 0.0220246 0.0170465 0.0135911 0.0114039 
2.05128 0.00532868 0.00801522 0.0125426 0.0194145 0.0263182 0.0213423 0.0162797 0.0127534 0.0104993 0.00572397 0.00845566 0.0130307 0.0199526 0.0269636 0.022045 0.0170423 0.0135781 0.0113887 
2.0763 0.00532017 0.00800778 0.0125444 0.019446 0.0263785 0.0213593 0.0162718 0.0127365 0.0104799 0.00571734 0.00845031 0.0130347 0.0199866 0.027027 0.0220654 0.0170379 0.0135651 0.0113736 
2.10131 0.00531165 0.0080003 0.012546 0.0194775 0.0264389 0.0213763 0.0162637 0.0127195 0.0104606 0.00571071 0.00844493 0.0130387 0.0200206 0.0270905 0.0220857 0.0170335 0.0135521 0.0113585 
2.12633 0.00530314 0.00799279 0.0125476 0.0195089 0.0264995 0.0213932 0.0162556 0.0127026 0.0104412 0.0057041 0.00843954 0.0130426 0.0200547 0.0271542 0.022106 0.0170291 0.0135391 0.0113434 
2.15134 0.00529462 0.00798525 0.0125492 0.0195404 0.0265602 0.02141 0.0162474 0.0126856 0.0104219 0.00569748 0.00843412 0.0130465 0.0200888 0.027218 0.0221262 0.0170245 0.0135261 0.0113284 
2.17636 0.00528609 0.00797768 0.0125506 0.0195719 0.0266211 0.0214267 0.0162391 0.0126685 0.0104026 0.00569088 0.00842869 0.0130503 0.0201228 0.027282 0.0221463 0.0170199 0.0135131 0.0113134 
2.20138 0.00527757 0.00797008 0.012552 0.0196033 0.0266821 0.0214433 0.0162307 0.0126515 0.0103833 0.00568428 0.00842323 0.0130541 0.0201569 0.0273461 0.0221663 0.0170153 0.0135 0.0112984 
2.22639 0.00526904 0.00796244 0.0125533 0.0196348 0.0267432 0.0214598 0.0162222 0.0126344 0.010364 0.00567769 0.00841776 0.0130578 0.020191 0.0274104 0.0221863 0.0170105 0.013487 0.0112834 
2.25141 0.00526051 0.00795478 0.0125546 0.0196663 0.0268045 0.0214762 0.0162137 0.0126173 0.0103447 0.00567111 0.00841226 0.0130615 0.0202251 0.0274749 0.0222061 0.0170058 0.013474 0.0112685 
2.27642 0.00525198 0.00794708 0.0125557 0.0196977 0.0268659 0.0214925 0.0162051 0.0126002 0.0103254 0.00566454 0.00840675 0.0130651 0.0202592 0.0275395 0.022226 0.0170009 0.0134609 0.0112537 
2.30144 0.00524344 0.00793935 0.0125568 0.0197291 0.0269274 0.0215087 0.0161964 0.012583 0.0103062 0.00565797 0.00840122 0.0130686 0.0202933 0.0276042 0.0222457 0.016996 0.0134479 0.0112389 
2.32645 0.00523491 0.00793159 0.0125579 0.0197606 0.0269891 0.0215249 0.0161876 0.0125658 0.0102869 0.00565141 0.00839567 0.0130721 0.0203275 0.0276692 0.0222653 0.016991 0.0134348 0.0112241 
2.35147 0.00522636 0.00792381 0.0125588 0.019792 0.0270509 0.0215409 0.0161787 0.0125486 0.0102677 0.00564486 0.00839009 0.0130755 0.0203616 0.0277342 0.0222849 0.016986 0.0134218 0.0112093 
2.37649 0.00521782 0.00791599 0.0125597 0.0198234 0.0271129 0.0215568 0.0161697 0.0125314 0.0102485 0.00563832 0.00838451 0.0130789 0.0203957 0.0277994 0.0223044 0.0169809 0.0134087 0.0111946 
2.4015 0.00520928 0.00790814 0.0125605 0.0198548 0.027175 0.0215727 0.0161607 0.0125141 0.0102293 0.00563179 0.0083789 0.0130821 0.0204299 0.0278648 0.0223238 0.0169757 0.0133956 0.0111799 
2.42652 0.00520073 0.00790025 0.0125613 0.0198862 0.0272372 0.0215884 0.0161515 0.0124968 0.0102101 0.00562527 0.00837327 0.0130854 0.020464 0.0279303 0.0223431 0.0169705 0.0133826 0.0111653 
2.45153 0.00519218 0.00789234 0.0125619 0.0199175 0.0272995 0.021604 0.0161423 0.0124795 0.0101909 0.00561875 0.00836763 0.0130886 0.0204981 0.027996 0.0223624 0.0169652 0.0133695 0.0111507 
2.47655 0.00518363 0.0078844 0.0125625 0.0199489 0.027362 0.0216196 0.016133 0.0124622 0.0101717 0.00561224 0.00836196 0.0130917 0.0205323 0.0280618 0.0223815 0.0169598 0.0133564 0.0111361 
2.50156 0.00517508 0.00787643 0.0125631 0.0199802 0.0274246 0.021635 0.0161236 0.0124448 0.0101526 0.00560575 0.00835628 0.0130947 0.0205664 0.0281278 0.0224006 0.0169544 0.0133434 0.0111216 
2.52658 0.00516652 0.00786843 0.0125635 0.0200115 0.0274874 0.0216503 0.0161142 0.0124274 0.0101334 0.00559926 0.00835058 0.0130977 0.0206005 0.0281939 0.0224196 0.0169489 0.0133303 0.0111071 
2.55159 0.00515797 0.0078604 0.0125639 0.0200428 0.0275503 0.0216655 0.0161046 0.01241 0.0101143 0.00559278 0.00834487 0.0131007 0.0206347 0.0282602 0.0224385 0.0169434 0.0133172 0.0110927 
2.57661 0.00514941 0.00785233 0.0125642 0.0200741 0.0276133 0.0216806 0.016095 0.0123926 0.0100952 0.00558631 0.00833913 0.0131036 0.0206688 0.0283266 0.0224574 0.0169378 0.0133042 0.0110782 
2.60163 0.00514085 0.00784424 0.0125644 0.0201054 0.0276764 0.0216956 0.0160852 0.0123751 0.0100761 0.00557985 0.00833338 0.0131064 0.0207029 0.0283932 0.0224761 0.0169321 0.0132911 0.0110639 
