T 18F 19F 20F 21F 23F 24F 25F 26F 27F 18000F 19000F 20000F 21000F 23000F 24000F 25000F 26000F 27000F 
2.77674 0.00497197 0.00766542 0.0124294 0.0201753 0.0279441 0.021604 0.0158048 0.0120251 0.00969777 0.00538343 0.00812386 0.0129374 0.0207354 0.0286158 0.0223355 0.0165985 0.0128835 0.0106235 
2.80175 0.00496417 0.00765795 0.01243 0.0202075 0.0280095 0.0216195 0.0157959 0.012009 0.00968052 0.00537272 0.00811315 0.0129344 0.0207635 0.0286765 0.0223458 0.016584 0.0128614 0.0105998 
2.82677 0.00495636 0.00765044 0.0124305 0.0202395 0.028075 0.0216349 0.0157869 0.011993 0.00966328 0.00536202 0.00810243 0.0129313 0.0207917 0.0287373 0.022356 0.0165694 0.0128393 0.010576 
2.85178 0.00494855 0.0076429 0.0124309 0.0202716 0.0281406 0.0216501 0.0157778 0.0119768 0.00964603 0.00535134 0.0080917 0.0129282 0.0208198 0.0287982 0.0223662 0.0165548 0.0128172 0.0105523 
2.8768 0.00494073 0.00763533 0.0124312 0.0203036 0.0282063 0.0216652 0.0157686 0.0119607 0.00962878 0.00534068 0.00808095 0.012925 0.020848 0.0288593 0.0223762 0.0165401 0.0127952 0.0105287 
2.90181 0.0049329 0.00762772 0.0124314 0.0203356 0.0282722 0.0216802 0.0157593 0.0119445 0.00961154 0.00533003 0.0080702 0.0129217 0.0208761 0.0289206 0.0223862 0.0165254 0.0127731 0.0105051 
2.92683 0.00492507 0.00762007 0.0124316 0.0203675 0.0283381 0.0216951 0.0157499 0.0119283 0.0095943 0.0053194 0.00805943 0.0129184 0.0209042 0.028982 0.0223961 0.0165106 0.0127511 0.0104815 
2.95184 0.00491723 0.00761239 0.0124317 0.0203994 0.0284042 0.0217098 0.0157405 0.0119121 0.00957707 0.00530878 0.00804866 0.0129151 0.0209323 0.0290435 0.0224059 0.0164958 0.0127291 0.0104581 
2.97686 0.00490939 0.00760468 0.0124317 0.0204312 0.0284704 0.0217244 0.0157309 0.0118959 0.00955983 0.00529818 0.00803787 0.0129116 0.0209604 0.0291052 0.0224156 0.0164809 0.012707 0.0104346 
3.00188 0.00490153 0.00759693 0.0124316 0.020463 0.0285367 0.0217389 0.0157213 0.0118796 0.0095426 0.00528759 0.00802707 0.0129082 0.0209885 0.029167 0.0224252 0.016466 0.012685 0.0104112 
3.02689 0.00489368 0.00758915 0.0124314 0.0204948 0.0286031 0.0217532 0.0157115 0.0118632 0.00952538 0.00527701 0.00801626 0.0129046 0.0210165 0.0292289 0.0224347 0.016451 0.012663 0.0103879 
