K 18F 18.2F 18.4F 18.6F 18.8F 19F 19.2F 19.4F 19.6F 19.8F 20F 20.2F 20.4F 20.6F 20.8F 21F 21.2F 21.4F 21.6F 21.8F 22F 22.2F 22.4F 22.6F 22.8F 23F 23.2F 23.4F 23.6F 23.8F 24F 24.2F 24.4F 24.6F 24.8F 25F 25.2F 25.4F 25.6F 25.8F 26F 26.2F 26.4F 26.6F 26.8F 27F 27.2F 
2.56513 0.85711 0.86764 0.879273 0.892139 0.906382 0.922155 0.939617 0.95893 0.980161 0.99541 0.999955 0.992817 0.972191 0.935879 0.881591 0.807287 0.711645 0.594658 0.458312 0.307296 0.149876 0.011494 0.0799054 0.252395 0.406838 0.549052 0.6732 0.776432 0.858129 0.91922 0.96155 0.987364 0.99891 0.998171 0.986483 0.965789 0.945783 0.927687 0.911339 0.896578 0.883247 0.871201 0.860303 0.850433 0.841479 0.833345 0.825941 
2.64529 0.852548 0.863303 0.875194 0.888356 0.902939 0.919104 0.937019 0.956857 0.978696 0.994653 1 0.993733 0.974008 0.93857 0.885051 0.811316 0.715944 0.598837 0.461929 0.309933 0.151231 0.0116001 0.0806358 0.254609 0.410156 0.553084 0.677504 0.780592 0.861812 0.922191 0.963673 0.988588 0.999246 0.997676 0.985245 0.96391 0.943353 0.924779 0.908019 0.892901 0.87926 0.866943 0.855809 0.845731 0.836596 0.8283 0.820754 
2.72545 0.847982 0.858957 0.8711 0.884551 0.899468 0.916017 0.934379 0.954734 0.977174 0.993835 0.999984 0.99459 0.975772 0.941218 0.888483 0.815337 0.720252 0.603038 0.465576 0.312598 0.152602 0.0117076 0.0813748 0.256846 0.413503 0.557142 0.681822 0.78475 0.865474 0.925125 0.965747 0.989754 0.999521 0.997122 0.98395 0.961979 0.940877 0.921834 0.904668 0.8892 0.875255 0.862674 0.85131 0.841031 0.831719 0.823267 0.815583 
2.80561 0.843415 0.854604 0.866992 0.880725 0.895968 0.912895 0.931696 0.952563 0.975598 0.992958 0.999906 0.995387 0.977482 0.943823 0.891887 0.819347 0.724568 0.607261 0.469253 0.315289 0.153989 0.0118163 0.0821224 0.259107 0.41688 0.561225 0.686153 0.788904 0.869114 0.92802 0.967769 0.990862 0.999735 0.996506 0.982598 0.959998 0.938356 0.918851 0.901287 0.885475 0.871234 0.858396 0.846808 0.836333 0.826849 0.818247 0.810429 
2.88577 0.838846 0.850243 0.862869 0.876879 0.89244 0.909739 0.928971 0.950342 0.973965 0.992021 0.999765 0.996122 0.979136 0.946383 0.895262 0.823345 0.72889 0.611506 0.472958 0.318007 0.155391 0.0119262 0.0828787 0.261392 0.420287 0.565334 0.690496 0.793053 0.872731 0.930876 0.96974 0.99191 0.999886 0.995829 0.981188 0.957965 0.935792 0.91583 0.897876 0.881728 0.867197 0.854108 0.842302 0.831637 0.821987 0.813239 0.805293 
2.96593 0.834276 0.845875 0.858734 0.873012 0.888886 0.906548 0.926204 0.948072 0.972278 0.991023 0.999562 0.996796 0.980735 0.948897 0.898605 0.827331 0.733217 0.615771 0.476692 0.320752 0.156809 0.0120375 0.0836438 0.263701 0.423722 0.569467 0.69485 0.797195 0.876322 0.93369 0.971658 0.992898 0.999975 0.995091 0.979722 0.955881 0.933183 0.912773 0.894435 0.877958 0.863144 0.849811 0.837793 0.826944 0.817133 0.808244 0.800174 
3.04609 0.829706 0.8415 0.854585 0.869126 0.885305 0.903323 0.923397 0.945754 0.970535 0.989965 0.999296 0.997408 0.982276 0.951364 0.901915 0.831301 0.737549 0.620057 0.480454 0.323524 0.158243 0.0121502 0.0844178 0.266035 0.427188 0.573625 0.699215 0.80133 0.879886 0.936461 0.973521 0.993825 1 0.994291 0.978198 0.953747 0.930531 0.90968 0.890966 0.874167 0.859077 0.845505 0.833282 0.822254 0.812287 0.803261 0.795072 
3.12625 0.825135 0.837119 0.850425 0.865221 0.881698 0.900065 0.920548 0.943387 0.968737 0.988847 0.998966 0.997956 0.983758 0.953782 0.905192 0.835256 0.741884 0.624362 0.484245 0.326323 0.159693 0.0122641 0.0852006 0.268392 0.430682 0.577806 0.70359 0.805455 0.883423 0.939189 0.975329 0.99469 0.999962 0.993429 0.976617 0.951562 0.927835 0.906551 0.887468 0.870355 0.854995 0.841192 0.828768 0.817568 0.80745 0.798293 0.789988 
3.20641 0.820564 0.832733 0.846252 0.861297 0.878066 0.896774 0.91766 0.940973 0.966884 0.987667 0.998572 0.998441 0.985181 0.95615 0.908433 0.839194 0.746222 0.628686 0.488065 0.329149 0.161159 0.0123794 0.0859924 0.270773 0.434205 0.58201 0.707973 0.80957 0.88693 0.941871 0.97708 0.995492 0.999859 0.992506 0.974979 0.949327 0.925097 0.903387 0.883943 0.866522 0.850899 0.836871 0.824253 0.812885 0.802622 0.793338 0.784922 
3.28657 0.815993 0.828341 0.842068 0.857356 0.874408 0.893451 0.914731 0.938512 0.964977 0.986427 0.998114 0.998861 0.986544 0.958468 0.911637 0.843113 0.750561 0.633028 0.491912 0.332002 0.162642 0.012496 0.0867933 0.273179 0.437757 0.586236 0.712364 0.813674 0.890407 0.944507 0.978774 0.996231 0.999692 0.99152 0.973285 0.947042 0.922317 0.900188 0.88039 0.862669 0.84679 0.832542 0.819737 0.808206 0.797803 0.788396 0.779874 
3.36673 0.811424 0.823945 0.837873 0.853397 0.870727 0.890096 0.911763 0.936004 0.963015 0.985127 0.997591 0.999216 0.987846 0.960733 0.914803 0.847012 0.754899 0.637387 0.495786 0.334883 0.16414 0.012614 0.0876033 0.27561 0.441338 0.590485 0.716762 0.817765 0.893851 0.947095 0.980409 0.996905 0.999459 0.990472 0.971533 0.944707 0.919494 0.896956 0.876811 0.858796 0.842668 0.828208 0.81522 0.803533 0.792993 0.783469 0.774844 
3.44689 0.806856 0.819544 0.833669 0.849422 0.867021 0.88671 0.908757 0.933449 0.960999 0.983765 0.997004 0.999506 0.989086 0.962944 0.91793 0.850891 0.759237 0.641764 0.499688 0.337791 0.165656 0.0127334 0.0884225 0.278065 0.444947 0.594756 0.721165 0.821841 0.897263 0.949634 0.981984 0.997515 0.999162 0.989362 0.969726 0.942324 0.916631 0.893689 0.873206 0.854905 0.838534 0.823867 0.810703 0.798864 0.788194 0.778556 0.769833 
