T 18F 19F 20F 21F 21.5F 22F 22.2F 22.24F 22.3F 22.4F 22.5F 23F 24F 25F 26F 27F 18000F 19000F 20000F 21000F 21500F 22000F 22200F 22240F 22300F 22400F 22500F 23000F 24000F 25000F 26000F 27000F 
0.950594 0.00220607 0.00324244 0.00487055 0.00711684 0.00825625 0.0091322 0.00935828 0.00939342 0.00943961 0.00949897 0.00953614 0.00940474 0.0080768 0.0064778 0.00523384 0.0043793 0.0165626 0.0236836 0.034761 0.049971 0.0576888 0.063653 0.0652108 0.0654553 0.0657785 0.0661998 0.0664733 0.0657276 0.0571438 0.0467645 0.0387634 0.03337 
0.97561 0.00220328 0.00324062 0.00487296 0.00712981 0.0082761 0.00915725 0.00938433 0.00941958 0.00946586 0.00952522 0.00956218 0.00942705 0.00808573 0.00647705 0.00522871 0.00437257 0.0165304 0.0236564 0.0347604 0.0500392 0.0578019 0.0637998 0.065364 0.0656091 0.0659328 0.0663539 0.0666259 0.0658544 0.0571794 0.0467334 0.0387011 0.0332948 
1.00063 0.00220047 0.00323878 0.00487535 0.0071428 0.00829599 0.00918239 0.00941047 0.00944583 0.00949221 0.00955156 0.00958833 0.00944942 0.00809464 0.00647626 0.00522357 0.00436583 0.0164984 0.0236292 0.0347598 0.0501075 0.0579154 0.0639475 0.0655179 0.0657636 0.0660879 0.0665089 0.0667793 0.0659817 0.057215 0.0467023 0.0386389 0.0332197 
1.02564 0.00219766 0.00323692 0.00487771 0.00715579 0.00831594 0.00920762 0.00943672 0.00947218 0.00951866 0.00957801 0.00961456 0.00947185 0.00810352 0.00647543 0.0052184 0.00435908 0.0164664 0.0236021 0.0347592 0.050176 0.0580294 0.0640958 0.0656727 0.065919 0.0662439 0.0666646 0.0669334 0.0661095 0.0572506 0.0466712 0.0385767 0.0331449 
1.05066 0.00219485 0.00323505 0.00488005 0.00716879 0.00833594 0.00923295 0.00946306 0.00949863 0.00954521 0.00960456 0.00964089 0.00949434 0.00811237 0.00647456 0.00521321 0.00435233 0.0164344 0.0235749 0.0347585 0.0502448 0.058144 0.064245 0.0658282 0.0660752 0.0664007 0.0668212 0.0670884 0.0662379 0.0572862 0.04664 0.0385146 0.0330702 
1.07567 0.00219203 0.00323316 0.00488236 0.0071818 0.008356 0.00925837 0.0094895 0.00952518 0.00957186 0.0096312 0.00966732 0.00951688 0.0081212 0.00647366 0.005208 0.00434558 0.0164025 0.0235477 0.0347577 0.0503137 0.058259 0.0643949 0.0659846 0.0662323 0.0665582 0.0669785 0.0672441 0.0663668 0.0573218 0.0466087 0.0384526 0.0329958 
1.10069 0.0021892 0.00323125 0.00488465 0.00719482 0.00837611 0.00928388 0.00951605 0.00955183 0.00959861 0.00965794 0.00969384 0.00953949 0.00813001 0.00647272 0.00520277 0.00433882 0.0163707 0.0235205 0.0347569 0.0503828 0.0583746 0.0645456 0.0661418 0.0663901 0.0667166 0.0671367 0.0674007 0.0664963 0.0573574 0.0465774 0.0383907 0.0329215 
1.1257 0.00218637 0.00322933 0.00488691 0.00720785 0.00839627 0.00930948 0.00954269 0.00957858 0.00962546 0.00968478 0.00972046 0.00956214 0.00813879 0.00647174 0.00519752 0.00433206 0.016339 0.0234934 0.0347561 0.0504522 0.0584906 0.0646971 0.0662999 0.0665488 0.0668759 0.0672957 0.067558 0.0666263 0.0573931 0.046546 0.0383288 0.0328475 
1.15072 0.00218353 0.00322739 0.00488914 0.00722088 0.00841649 0.00933518 0.00956943 0.00960543 0.00965241 0.00971173 0.00974718 0.00958486 0.00814754 0.00647072 0.00519225 0.00432529 0.0163073 0.0234662 0.0347552 0.0505217 0.0586071 0.0648493 0.0664587 0.0667083 0.0670359 0.0674555 0.0677161 0.0667569 0.0574287 0.0465146 0.038267 0.0327736 
1.17573 0.00218069 0.00322543 0.00489135 0.00723393 0.00843675 0.00936097 0.00959628 0.00963239 0.00967946 0.00973877 0.00977399 0.00960764 0.00815626 0.00646967 0.00518696 0.00431852 0.0162756 0.023439 0.0347543 0.0505913 0.0587242 0.0650023 0.0666184 0.0668686 0.0671968 0.0676162 0.0678751 0.066888 0.0574643 0.0464831 0.0382052 0.0326999 
1.20075 0.00217784 0.00322345 0.00489353 0.00724698 0.00845707 0.00938686 0.00962322 0.00965944 0.00970662 0.00976591 0.0098009 0.00963047 0.00816496 0.00646857 0.00518165 0.00431174 0.016244 0.0234118 0.0347533 0.0506612 0.0588417 0.065156 0.0667788 0.0670298 0.0673585 0.0677776 0.0680348 0.0670197 0.0574999 0.0464515 0.0381436 0.0326264 
1.22577 0.00217499 0.00322146 0.00489569 0.00726003 0.00847745 0.00941284 0.00965027 0.0096866 0.00973387 0.00979315 0.00982791 0.00965336 0.00817363 0.00646744 0.00517631 0.00430496 0.0162125 0.0233846 0.0347522 0.0507313 0.0589597 0.0653106 0.0669401 0.0671918 0.0675211 0.0679399 0.0681953 0.0671519 0.0575355 0.0464199 0.038082 0.032553 
1.25078 0.00217213 0.00321945 0.00489781 0.0072731 0.00849787 0.00943891 0.00967741 0.00971386 0.00976123 0.0098205 0.00985501 0.0096763 0.00818227 0.00646628 0.00517096 0.00429817 0.016181 0.0233574 0.0347511 0.0508015 0.0590782 0.0654659 0.0671023 0.0673546 0.0676844 0.068103 0.0683566 0.0672846 0.057571 0.0463882 0.0380204 0.0324799 
1.2758 0.00216926 0.00321743 0.00489991 0.00728617 0.00851835 0.00946508 0.00970466 0.00974122 0.00978869 0.00984794 0.00988221 0.0096993 0.00819088 0.00646507 0.00516559 0.00429138 0.0161496 0.0233302 0.0347499 0.0508719 0.0591971 0.065622 0.0672652 0.0675182 0.0678486 0.0682669 0.0685187 0.0674179 0.0576066 0.0463564 0.0379589 0.032407 
1.30081 0.00216639 0.00321539 0.00490199 0.00729925 0.00853888 0.00949135 0.00973201 0.00976868 0.00981625 0.00987548 0.00990951 0.00972236 0.00819946 0.00646383 0.0051602 0.00428458 0.0161183 0.0233029 0.0347487 0.0509424 0.0593166 0.0657788 0.067429 0.0676826 0.0680136 0.0684316 0.0686816 0.0675517 0.0576421 0.0463246 0.0378975 0.0323342 
1.32583 0.00216351 0.00321333 0.00490403 0.00731233 0.00855947 0.0095177 0.00975946 0.00979624 0.00984392 0.00990313 0.0099369 0.00974548 0.00820802 0.00646254 0.00515479 0.00427779 0.016087 0.0232757 0.0347473 0.0510132 0.0594365 0.0659364 0.0675936 0.0678479 0.0681794 0.0685971 0.0688453 0.067686 0.0576776 0.0462927 0.0378361 0.0322616 
1.35084 0.00216063 0.00321125 0.00490605 0.00732542 0.0085801 0.00954416 0.00978702 0.00982391 0.00987169 0.00993088 0.0099644 0.00976865 0.00821654 0.00646122 0.00514935 0.00427098 0.0160557 0.0232485 0.034746 0.051084 0.0595569 0.0660948 0.067759 0.068014 0.0683461 0.0687635 0.0690098 0.0678208 0.057713 0.0462607 0.0377748 0.0321892 
1.37586 0.00215774 0.00320916 0.00490804 0.00733851 0.00860079 0.00957071 0.00981468 0.00985168 0.00989956 0.00995873 0.00999199 0.00979188 0.00822504 0.00645986 0.0051439 0.00426418 0.0160246 0.0232212 0.0347445 0.0511551 0.0596778 0.066254 0.0679252 0.0681809 0.0685136 0.0689307 0.0691751 0.0679562 0.0577484 0.0462286 0.0377136 0.032117 
1.40088 0.00215485 0.00320705 0.00491001 0.00735161 0.00862153 0.00959735 0.00984244 0.00987956 0.00992753 0.00998668 0.0100197 0.00981516 0.0082335 0.00645847 0.00513843 0.00425736 0.0159934 0.023194 0.034743 0.0512263 0.0597992 0.0664139 0.0680923 0.0683487 0.0686819 0.0690987 0.0693412 0.0680921 0.0577838 0.0461964 0.0376524 0.0320449 
1.42589 0.00215195 0.00320492 0.00491194 0.00736471 0.00864232 0.00962409 0.0098703 0.00990754 0.00995561 0.0100147 0.0100475 0.0098385 0.00824193 0.00645703 0.00513294 0.00425055 0.0159624 0.0231667 0.0347414 0.0512977 0.059921 0.0665746 0.0682601 0.0685173 0.0688511 0.0692675 0.0695081 0.0682285 0.0578191 0.0461642 0.0375913 0.031973 
1.45091 0.00214905 0.00320278 0.00491385 0.00737782 0.00866316 0.00965093 0.00989827 0.00993562 0.0099838 0.0100429 0.0100754 0.0098619 0.00825033 0.00645556 0.00512743 0.00424373 0.0159313 0.0231394 0.0347397 0.0513692 0.0600433 0.0667361 0.0684289 0.0686867 0.0690211 0.0694371 0.0696758 0.0683654 0.0578544 0.0461318 0.0375302 0.0319013 
1.47592 0.00214614 0.00320062 0.00491573 0.00739093 0.00868406 0.00967786 0.00992634 0.00996381 0.0100121 0.0100711 0.0101033 0.00988535 0.0082587 0.00645404 0.0051219 0.00423691 0.0159004 0.0231121 0.0347379 0.0514408 0.0601661 0.0668984 0.0685984 0.0688569 0.0691919 0.0696076 0.0698443 0.0685029 0.0578896 0.0460994 0.0374692 0.0318298 
1.50094 0.00214322 0.00319844 0.00491758 0.00740405 0.008705 0.00970489 0.00995452 0.0099921 0.0100405 0.0100995 0.0101314 0.00990886 0.00826704 0.00645249 0.00511635 0.00423008 0.0158694 0.0230848 0.0347361 0.0515126 0.0602894 0.0670614 0.0687688 0.069028 0.0693635 0.0697789 0.0700136 0.0686408 0.0579248 0.0460669 0.0374082 0.0317584 
1.52595 0.00214031 0.00319625 0.00491941 0.00741717 0.008726 0.00973201 0.0099828 0.0100205 0.010069 0.010128 0.0101596 0.00993242 0.00827535 0.0064509 0.00511078 0.00422325 0.0158386 0.0230575 0.0347342 0.0515846 0.0604131 0.0672252 0.0689399 0.0691999 0.069536 0.069951 0.0701837 0.0687793 0.0579599 0.0460343 0.0373473 0.0316873 
1.55097 0.00213738 0.00319404 0.0049212 0.00743029 0.00874705 0.00975924 0.0100112 0.010049 0.0100976 0.0101565 0.0101879 0.00995604 0.00828362 0.00644927 0.0051052 0.00421642 0.0158078 0.0230301 0.0347322 0.0516566 0.0605373 0.0673898 0.069112 0.0693726 0.0697094 0.070124 0.0703546 0.0689183 0.0579949 0.0460016 0.0372865 0.0316163 
1.57598 0.00213445 0.00319181 0.00492297 0.00744341 0.00876815 0.00978656 0.0100397 0.0100776 0.0101263 0.0101852 0.0102163 0.00997971 0.00829186 0.0064476 0.00509959 0.00420959 0.015777 0.0230028 0.0347301 0.0517289 0.0606619 0.0675552 0.0692848 0.0695462 0.0698835 0.0702977 0.0705263 0.0690578 0.0580299 0.0459689 0.0372257 0.0315454 
1.601 0.00213152 0.00318957 0.0049247 0.00745654 0.00878931 0.00981397 0.0100683 0.0101063 0.0101551 0.010214 0.0102448 0.0100034 0.00830007 0.0064459 0.00509396 0.00420275 0.0157463 0.0229754 0.0347279 0.0518012 0.0607871 0.0677213 0.0694585 0.0697206 0.0700585 0.0704723 0.0706988 0.0691978 0.0580648 0.045936 0.0371649 0.0314747 
1.62602 0.00212858 0.00318731 0.00492641 0.00746967 0.00881051 0.00984149 0.010097 0.0101351 0.010184 0.0102429 0.0102734 0.0100272 0.00830824 0.00644415 0.00508832 0.0041959 0.0157157 0.022948 0.0347256 0.0518737 0.0609126 0.0678882 0.069633 0.0698959 0.0702343 0.0706477 0.070872 0.0693383 0.0580996 0.045903 0.0371042 0.0314042 
1.65103 0.00212563 0.00318503 0.00492809 0.0074828 0.00883176 0.0098691 0.0101258 0.0101641 0.010213 0.0102719 0.010302 0.0100511 0.00831638 0.00644237 0.00508265 0.00418906 0.0156851 0.0229206 0.0347233 0.0519463 0.0610387 0.0680559 0.0698084 0.070072 0.070411 0.070824 0.0710461 0.0694793 0.0581344 0.04587 0.0370435 0.0313339 
1.67605 0.00212268 0.00318274 0.00492974 0.00749593 0.00885307 0.00989681 0.0101547 0.0101931 0.0102422 0.010301 0.0103308 0.010075 0.00832448 0.00644055 0.00507697 0.00418221 0.0156545 0.0228932 0.0347208 0.052019 0.0611652 0.0682244 0.0699846 0.0702489 0.0705885 0.071001 0.071221 0.0696208 0.058169 0.0458368 0.0369829 0.0312638 
