T 18F 19F 20F 21F 23F 24F 25F 26F 27F 18000F 19000F 20000F 21000F 23000F 24000F 25000F 26000F 27000F 
1.47592 0.00552345 0.0081777 0.0124845 0.0186925 0.0249715 0.0209278 0.0164401 0.0131346 0.010948 0.00710075 0.01048 0.0159573 0.0238482 0.0318424 0.0267229 0.0210405 0.0168591 0.0140985 
1.50094 0.00551503 0.00817099 0.0124877 0.0187238 0.0250284 0.0209467 0.016434 0.0131184 0.0109284 0.0071085 0.0104985 0.0160025 0.0239492 0.0319964 0.0268156 0.021087 0.0168822 0.0141103 
1.52595 0.0055066 0.00816425 0.0124909 0.018755 0.0250855 0.0209654 0.0164279 0.0131021 0.0109088 0.00711641 0.0105173 0.0160481 0.0240511 0.032152 0.0269091 0.0211341 0.0169056 0.0141224 
1.55097 0.00549816 0.00815747 0.012494 0.0187863 0.0251427 0.0209841 0.0164216 0.0130858 0.0108892 0.00712449 0.0105364 0.0160941 0.024154 0.0323092 0.0270034 0.0211817 0.0169295 0.0141349 
1.57598 0.00548973 0.00815066 0.012497 0.0188176 0.0252001 0.0210027 0.0164153 0.0130694 0.0108696 0.00713273 0.0105557 0.0161407 0.0242579 0.0324679 0.0270987 0.0212298 0.0169537 0.0141477 
1.601 0.00548128 0.00814382 0.0125 0.0188489 0.0252576 0.0210213 0.0164089 0.0130531 0.01085 0.00714113 0.0105752 0.0161876 0.0243627 0.0326283 0.0271948 0.0212784 0.0169783 0.0141608 
1.62602 0.00547284 0.00813695 0.0125029 0.0188802 0.0253152 0.0210397 0.0164024 0.0130367 0.0108304 0.0071497 0.010595 0.016235 0.0244686 0.0327902 0.0272918 0.0213276 0.0170033 0.0141743 
1.65103 0.00546439 0.00813004 0.0125058 0.0189116 0.0253731 0.0210582 0.0163959 0.0130202 0.0108108 0.00715844 0.0106151 0.0162829 0.0245755 0.0329538 0.0273898 0.0213773 0.0170286 0.0141881 
1.67605 0.00545593 0.00812311 0.0125086 0.0189429 0.025431 0.0210765 0.0163892 0.0130038 0.0107913 0.00716735 0.0106354 0.0163313 0.0246834 0.0331191 0.0274887 0.0214276 0.0170544 0.0142023 
1.70106 0.00544747 0.00811614 0.0125113 0.0189743 0.0254891 0.0210948 0.0163825 0.0129873 0.0107717 0.00717644 0.010656 0.0163801 0.0247924 0.0332861 0.0275885 0.0214784 0.0170807 0.0142168 
