T 21F 21.5F 22F 22.2F 22.24F 22.3F 22.4F 22.5F 23F 21000F 21500F 22000F 22200F 22240F 22300F 22400F 22500F 23000F 
1.47592 0.0184786 0.0216781 0.0241403 0.024758 0.0248514 0.0249719 0.0251202 0.0252022 0.0246786 0.00761642 0.0089186 0.00992231 0.0101751 0.0102135 0.0102631 0.0103245 0.0103591 0.0101539 
1.50094 0.0188248 0.022098 0.0246171 0.0252481 0.0253434 0.0254662 0.0256169 0.0256996 0.0251558 0.00750671 0.00879651 0.00979063 0.0100406 0.0100785 0.0101274 0.0101877 0.0102214 0.0100145 
1.52595 0.0183033 0.0215008 0.0239615 0.0245769 0.0246697 0.0247892 0.0249353 0.0250149 0.024475 0.0075232 0.00882169 0.00982253 0.0100738 0.0101118 0.0101608 0.0102212 0.0102546 0.0100428 
1.55097 0.0189252 0.0222447 0.0247996 0.0254376 0.0255337 0.0256573 0.0258081 0.0258895 0.025321 0.00747004 0.00876385 0.00976125 0.0100113 0.0100491 0.0100978 0.0101576 0.0101905 0.00997667 
1.57598 0.0191974 0.0225784 0.0251809 0.0258299 0.0259274 0.0260528 0.0262054 0.0262872 0.0257 0.00772233 0.00906575 0.0101014 0.0103607 0.0103998 0.0104502 0.0105119 0.0105455 0.01032 
1.601 0.0190418 0.0224102 0.0250032 0.0256488 0.0257457 0.0258701 0.0260211 0.0261013 0.0255076 0.00782609 0.00919534 0.0102508 0.0105146 0.0105542 0.0106053 0.0106677 0.0107013 0.0104671 
1.62602 0.0188941 0.0222513 0.0248359 0.0254784 0.0255747 0.0256982 0.0258477 0.0259264 0.0253259 0.00784123 0.00921738 0.0102784 0.0105432 0.0105831 0.0106343 0.0106966 0.01073 0.0104919 
1.65103 0.0193042 0.022749 0.0254014 0.0260597 0.0261582 0.0262845 0.0264368 0.0265163 0.0258915 0.00753521 0.00886428 0.00988905 0.0101444 0.0101827 0.0102319 0.0102916 0.0103234 0.0100895 
1.67605 0.0192508 0.0227011 0.0253579 0.0260164 0.0261148 0.0262407 0.0263922 0.0264706 0.0258361 0.0076706 0.00902945 0.0100773 0.0103379 0.010377 0.0104271 0.0104878 0.0105197 0.0102772 
1.70106 0.0195224 0.0230362 0.0257422 0.0264119 0.0265117 0.0266395 0.0267928 0.0268713 0.0262165 0.00768941 0.00905759 0.0101127 0.0103748 0.010414 0.0104643 0.0105249 0.0105566 0.0103089 
1.72608 0.0190198 0.0224591 0.0251079 0.0257624 0.0258598 0.0259843 0.0261333 0.0262088 0.0255587 0.00776388 0.00915226 0.010223 0.0104885 0.0105281 0.0105789 0.01064 0.0106715 0.0104162 
1.75109 0.0195795 0.0231352 0.0258741 0.0265498 0.0266503 0.0267785 0.0269315 0.0270083 0.0263273 0.00728359 0.00859088 0.00959928 0.00984898 0.00988623 0.00993386 0.00999103 0.0100203 0.00977699 
